nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
RS Umum Daerah Aceh Singkil;Rumah Sakit Umum;Aceh;Aceh Singkil;Jl. Rimo-Singkil Km. 8 Desa Gunung Lagan Kec. Gunung Meriah;TRUE;http://maps.google.co.id/?q=2.4994039,97.7939776;;;
RS Ibu dan Anak Cempaka Az Zahra Banda Aceh;Rumah Sakit Khusus Ibu dan Anak;Aceh;Kota Banda Aceh;Jl. Syiah Kuala No. 88, Bandar Baru, Kec. Kuta Alam, Kota Banda Aceh, Provinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Ibu+dan+Anak+Cempaka+Az+Zahra+Banda+Aceh+Kota+Banda+Aceh;;;
RS Umum Daerah Cut Nyak Dhien;Rumah Sakit Umum;Aceh;Aceh Barat;Jl. Gajah Mada Meulaboh ;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Cut+Nyak+Dhien+Aceh+Barat;;;
RS Umum Daerah  Dr. Zainoel Abidin;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Tgk Daud Beureueh, NO. 108 B. Aceh;TRUE;http://maps.google.co.id/?q=5.56347,95.3382;;;
RS Tk. IV IM 07.02;Rumah Sakit Umum;Aceh;Aceh Barat;Jl. Pocut Baren Ujung Karang Desa Suak Indrapuri Kec. Johan Pahlawan Meulaboh Aceh Barat;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Tk.+IV+IM+07.02+Aceh+Barat;;;
RS Islam Ibnu Sina Sigli;Rumah Sakit Umum;Aceh;Pidie;Jl Lingkar Keunire no 21-24, Gampong Cot;TRUE;-;;;
RS Umum Nurul Hasanah;Rumah Sakit Umum;Aceh;Aceh Tenggara;Jl. A. Yani No. 23 Pulo Kemiri Kutacane;TRUE;http://maps.google.co.id/?q=3.496266,97.808589;;;
RS Umum Bunda ;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Darussalam Nomor 16, Desa/Kel. Lancang Garam, Kec. Banda Sakti;TRUE;http://maps.google.co.id/?q=-8.354728,114.626593;;;
RS Umum Daerah Sabang;Rumah Sakit Umum;Aceh;Kota Sabang;Jl. Teuku Umar No. 21 Gampong Kuta Ateuh Kec. Sukakarya;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Sabang+Kota+Sabang;;;
RS Ibu dan Anak Azalia;Rumah Sakit Khusus Ibu dan Anak;Aceh;Bener Meriah;Jl. Empun Bayak Kampung Bale Atu  Kec. Bukit;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Ibu+dan+Anak+Azalia+Bener+Meriah;;;
RS Umum Harapan Sehat;Rumah Sakit Umum;Aceh;Aceh Barat;Jl. Sisingamangaraja, Dusun III, Desa Gampa, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat. Provinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Harapan+Sehat+Aceh+Barat;;;
RS Umum Daerah H. Sahudin Kutacane;Rumah Sakit Umum;Aceh;Aceh Tenggara;Jl. Kutacane - Blangkejeren Km. 3 Kec. Badar Kabupaten Aceh Tenggara Provinsi Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+H.+Sahudin+Kutacane+Aceh+Tenggara;;;
RS Umum Daerah TGK Chik Ditiro Sigli;Rumah Sakit Umum;Aceh;Pidie;Jl. Prof. A. Majid Ibrahim Sigli;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+TGK+Chik+Ditiro+Sigli+Pidie;;;
RS Umum Pertamedika Ummi Rosnati;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Sekolah No. 5 Gampoeng Ateuk Pahlawan, Kecamatan Baiturahman, Kota Banda Aceh 23241;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Pertamedika+Ummi+Rosnati+Kota+Banda+Aceh;;;
RS Jiwa Aceh;Rumah Sakit Khusus Jiwa;Aceh;Kota Banda Aceh;Jl. Dr. T. Syarief Thayeb No.25 Banda Aceh;TRUE;http://maps.google.co.id/?q=5.563713,95.33887;;;
RS Umum Citra Husada;Rumah Sakit Umum;Aceh;Pidie;Jl. Prof. A. Majid Ibrahim Kelurahan Lampeudeu Baroh Kecamatan  Pidie. Kabupaten Pidie. Provinsi Aceh.;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Citra+Husada+Pidie;;;
RS Umum Daerah Teungku Peukan;Rumah Sakit Umum;Aceh;Aceh Barat Daya;Jl. Nasional Padang Meurante Desa Ujung Padang, Kec. Susoh;TRUE;http://maps.google.co.id/?q=3.7391805,96.7993083;;;
RS Umum PMI Cabang Aceh Utara;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Samudera, Desa/Kel Kampung Jawa, Kec. Banda Sakti;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+PMI+Cabang+Aceh+Utara+Kota+Lhokseumawe;;;
RS Umum Meutia;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Cut Meutia No. 55;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Meutia+Kota+Banda+Aceh;;;
RS Umum Cut Meutia;Rumah Sakit Umum;Aceh;Kota Langsa;Jl. Garuda No. 1  Kebun Baru, Kec. Paya Bujok Seulemak, Langsa Baro, Kota Langsa, Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Cut+Meutia+Kota+Langsa;;;
RS Umum Bireuen Medical Center ;Rumah Sakit Umum;Aceh;Bireuen;Bireuen, Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Bireuen+Medical+Center++Bireuen;;;
RS Umum Montella;Rumah Sakit Umum;Aceh;Aceh Barat;Jl. Beringin jaya ,  kel.  seunubok Kec. Johan pahlawan , kabupaten aceh barat,  Aceh 23611;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Montella+Aceh+Barat;;;
RS Umum Cut Meutia Kab. Aceh Utara;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Cut+Meutia+Kab.+Aceh+Utara+Kota+Lhokseumawe;;;
RS Umum Harapan Bunda Banda Aceh;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Teuku Umar No. 181-211, Kel. Setui, Kec. Baiturrahman;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Harapan+Bunda+Banda+Aceh+Kota+Banda+Aceh;;;
RS Umum Prima Inti Medika;Rumah Sakit Umum;Aceh;Aceh Utara;Jl. Singgalang No. 1 Komplek Perumahan PT. PIM Krueng Geukeuh Kab. Aceh Utara;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Prima+Inti+Medika+Aceh+Utara;;;
RS Umum Az-Zuhra;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Pasar. Impres No.2 LK. IV Desa Kuta Blang  Kec. Banda Sakti, Kota Lhokseumawe, Aceh 24352;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Az-Zuhra+Kota+Lhokseumawe;;;
RS Umum Daerah Pidie Jaya;Rumah Sakit Umum;Aceh;Pidie Jaya;Jl. Banda Aceh - Medan Gp.Dayah Timu  KM. 158 Meureudu ;TRUE;http://maps.google.co.id/?q=4.98826,96.280103;;;
RS Pendidikan Universitas Syiah Kuala;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Lingkar Kampus USK, Kopelma Darussalam, Kota Banda Aceh;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Pendidikan+Universitas+Syiah+Kuala+Kota+Banda+Aceh;;;
